nsim,gamma,MSE_hat,se_MSE
50,5.462277217684343,4.289338614593672,0.013133193188328089
50,5.72236765935022,4.366383196952243,0.012192363967282856
50,5.994842503189412,4.357251246485896,0.01237768971586911
50,6.280291441834256,4.397133999201916,0.011229086173320208
50,6.5793322465756825,4.429012104936631,0.010555599741115205
50,6.892612104349698,4.442761449343674,0.009247743095978762
50,7.220809018385467,4.495897207962189,0.009528541625359458
50,7.56463327554629,4.508477411336315,0.009262332723521432
50,7.924828983539178,4.511998679037907,0.008846586068257467
50,8.302175681319747,4.532908415057427,0.008139829538261202
50,8.697490026177835,4.55103815578289,0.008112835699815392
50,9.111627561154895,4.573068818298645,0.006609295760189057
50,9.545484566618342,4.586330680820851,0.008035126147761865
50,10.0,4.612261494921874,0.007780217319763875
