method,n,ar,df,rho,SNR,rep,mse
quantile,200,0.2,1.0,0.2,5,21,0.045283970981519525
huber,200,0.2,1.0,0.2,5,21,0.04743883985974815
linear,200,0.2,1.0,0.2,5,22,2.2152914584395482
quantile,200,0.2,1.0,0.2,5,22,0.017665686434907783
huber,200,0.2,1.0,0.2,5,22,0.020078597981144274
linear,200,0.2,1.0,0.2,5,23,2.493251531766364
quantile,200,0.2,1.0,0.2,5,23,0.046961589175763804
huber,200,0.2,1.0,0.2,5,23,0.06277690009527774
linear,200,0.2,1.0,0.2,5,24,17.949096431538955
quantile,200,0.2,1.0,0.2,5,24,0.05960271161374233
huber,200,0.2,1.0,0.2,5,24,0.04881497548280367
linear,200,0.2,1.0,0.2,5,25,0.25772980960203146
quantile,200,0.2,1.0,0.2,5,25,0.024589498875530903
huber,200,0.2,1.0,0.2,5,25,0.020441865823320686
linear,200,0.2,1.0,0.2,5,26,1.896080481944677
quantile,200,0.2,1.0,0.2,5,26,0.024979353992833343
huber,200,0.2,1.0,0.2,5,26,0.023088469451245996
linear,200,0.2,1.0,0.2,5,27,6.270129473937594
quantile,200,0.2,1.0,0.2,5,27,0.04585971905167446
huber,200,0.2,1.0,0.2,5,27,0.039198180346238475
linear,200,0.2,1.0,0.2,5,28,1.239746604789321
quantile,200,0.2,1.0,0.2,5,28,0.020214086798214646
huber,200,0.2,1.0,0.2,5,28,0.026904183976493336
linear,200,0.2,1.0,0.2,5,29,729.1882000300089
quantile,200,0.2,1.0,0.2,5,29,0.04009647765772002
huber,200,0.2,1.0,0.2,5,29,0.03812118268909195
linear,200,0.2,1.0,0.2,10,0,5.946751708999619
quantile,200,0.2,1.0,0.2,10,0,0.021538218935370813
huber,200,0.2,1.0,0.2,10,0,0.023998512646785104
linear,200,0.2,1.0,0.2,10,1,3.7154517372012377
quantile,200,0.2,1.0,0.2,10,1,0.025744654543121047
huber,200,0.2,1.0,0.2,10,1,0.029714311753178867
linear,200,0.2,1.0,0.2,10,2,1.104958605385265
quantile,200,0.2,1.0,0.2,10,2,0.01962769020964212
huber,200,0.2,1.0,0.2,10,2,0.021837052183143597
linear,200,0.2,1.0,0.2,10,3,18.85248058068524
quantile,200,0.2,1.0,0.2,10,3,0.028635127424535316
huber,200,0.2,1.0,0.2,10,3,0.023221855286972952
linear,200,0.2,1.0,0.2,10,4,1.7555770953341618
quantile,200,0.2,1.0,0.2,10,4,0.018009794538072797
huber,200,0.2,1.0,0.2,10,4,0.016590694288609282
linear,200,0.2,1.0,0.2,10,5,1.1599659951878323
quantile,200,0.2,1.0,0.2,10,5,0.019931279934098378
huber,200,0.2,1.0,0.2,10,5,0.02020272444990771
linear,200,0.2,1.0,0.2,10,6,7.3195196075480045
quantile,200,0.2,1.0,0.2,10,6,0.01194823044958358
huber,200,0.2,1.0,0.2,10,6,0.024322595959370853
linear,200,0.2,1.0,0.2,10,7,32.436755540253365
quantile,200,0.2,1.0,0.2,10,7,0.021396223161505832
huber,200,0.2,1.0,0.2,10,7,0.020537562411225244
linear,200,0.2,1.0,0.2,10,8,1.2482412721147491
quantile,200,0.2,1.0,0.2,10,8,0.030011497018059812
huber,200,0.2,1.0,0.2,10,8,0.03193582862954993
linear,200,0.2,1.0,0.2,10,9,1.2807975213677447
quantile,200,0.2,1.0,0.2,10,9,0.022953689149422352
huber,200,0.2,1.0,0.2,10,9,0.02244281158183441
linear,200,0.2,1.0,0.2,10,10,0.427281341028703
quantile,200,0.2,1.0,0.2,10,10,0.02056467442990443
huber,200,0.2,1.0,0.2,10,10,0.021030590313463316
linear,200,0.2,1.0,0.2,10,11,0.5736770179475377
quantile,200,0.2,1.0,0.2,10,11,0.039736084665287684
huber,200,0.2,1.0,0.2,10,11,0.021056317146776797
linear,200,0.2,1.0,0.2,10,12,1.4749782528528457
quantile,200,0.2,1.0,0.2,10,12,0.015903752686145314
huber,200,0.2,1.0,0.2,10,12,0.013305567862034417
linear,200,0.2,1.0,0.2,10,13,0.8640740617314131
quantile,200,0.2,1.0,0.2,10,13,0.02327553011111394
huber,200,0.2,1.0,0.2,10,13,0.03019692124572835
linear,200,0.2,1.0,0.2,10,14,2.2916562435179535
quantile,200,0.2,1.0,0.2,10,14,0.03868343711777716
huber,200,0.2,1.0,0.2,10,14,0.03268876642668004
linear,200,0.2,1.0,0.2,10,15,1.4299101473826097
quantile,200,0.2,1.0,0.2,10,15,0.023156350141445504
huber,200,0.2,1.0,0.2,10,15,0.022102055987056883
linear,200,0.2,1.0,0.2,10,16,0.615016717514823
quantile,200,0.2,1.0,0.2,10,16,0.045977963617389844
huber,200,0.2,1.0,0.2,10,16,0.04464605949922722
linear,200,0.2,1.0,0.2,10,17,0.796724844764303
quantile,200,0.2,1.0,0.2,10,17,0.022295110166197514
huber,200,0.2,1.0,0.2,10,17,0.01989550463595423
linear,200,0.2,1.0,0.2,10,18,1.286037450702403
quantile,200,0.2,1.0,0.2,10,18,0.026900026506917706
huber,200,0.2,1.0,0.2,10,18,0.029480996234936975
linear,200,0.2,1.0,0.2,10,19,1.8254000556037877
quantile,200,0.2,1.0,0.2,10,19,0.06708814909184468
huber,200,0.2,1.0,0.2,10,19,0.07569711049345568
linear,200,0.2,1.0,0.2,10,20,5.236101421122493
quantile,200,0.2,1.0,0.2,10,20,0.03302630710293204
huber,200,0.2,1.0,0.2,10,20,0.04932983523374624
linear,200,0.2,1.0,0.2,10,21,6.245487703827135
quantile,200,0.2,1.0,0.2,10,21,0.02054597518182425
huber,200,0.2,1.0,0.2,10,21,0.020737686305996463
linear,200,0.2,1.0,0.2,10,22,0.3276674729863551
quantile,200,0.2,1.0,0.2,10,22,0.024834870184277318
huber,200,0.2,1.0,0.2,10,22,0.036111293568678746
linear,200,0.2,1.0,0.2,10,23,0.2529663827555905
quantile,200,0.2,1.0,0.2,10,23,0.04379927783921023
huber,200,0.2,1.0,0.2,10,23,0.03320164548510372
linear,200,0.2,1.0,0.2,10,24,0.612354961154787
quantile,200,0.2,1.0,0.2,10,24,0.02576291257747304
huber,200,0.2,1.0,0.2,10,24,0.019603783035198517
linear,200,0.2,1.0,0.2,10,25,9.170373019406625
quantile,200,0.2,1.0,0.2,10,25,0.030431440753454237
huber,200,0.2,1.0,0.2,10,25,0.025609668010219605
linear,200,0.2,1.0,0.2,10,26,7.384380652449527
quantile,200,0.2,1.0,0.2,10,26,0.03580875260145448
huber,200,0.2,1.0,0.2,10,26,0.030135558293276403
linear,200,0.2,1.0,0.2,10,27,0.17681107739172147
quantile,200,0.2,1.0,0.2,10,27,0.029927603531621143
huber,200,0.2,1.0,0.2,10,27,0.032651151679532905
linear,200,0.2,1.0,0.2,10,28,20.469036865059753
quantile,200,0.2,1.0,0.2,10,28,0.05022509350668956
huber,200,0.2,1.0,0.2,10,28,0.04629137898538604
linear,200,0.2,1.0,0.2,10,29,5.13479794692204
quantile,200,0.2,1.0,0.2,10,29,0.017839319167863736
huber,200,0.2,1.0,0.2,10,29,0.01491116517437487
linear,200,0.2,2.0,0.2,1,0,0.02731505634404093
quantile,200,0.2,2.0,0.2,1,0,0.009679567542507175
huber,200,0.2,2.0,0.2,1,0,0.008427587399972635
linear,200,0.2,2.0,0.2,1,1,0.013146930265267597
quantile,200,0.2,2.0,0.2,1,1,0.012025884389465148
huber,200,0.2,2.0,0.2,1,1,0.008182142107614535
linear,200,0.2,2.0,0.2,1,2,0.029059972847812716
quantile,200,0.2,2.0,0.2,1,2,0.012269775107436988
huber,200,0.2,2.0,0.2,1,2,0.010243022062492665
linear,200,0.2,2.0,0.2,1,3,0.03831407721825989
quantile,200,0.2,2.0,0.2,1,3,0.017966093518955964
huber,200,0.2,2.0,0.2,1,3,0.016943948119597017
linear,200,0.2,2.0,0.2,1,4,0.02066844833448962
quantile,200,0.2,2.0,0.2,1,4,0.00802726957220926
huber,200,0.2,2.0,0.2,1,4,0.007981387182412647
linear,200,0.2,2.0,0.2,1,5,0.036068061670209615
quantile,200,0.2,2.0,0.2,1,5,0.01267188285960755
huber,200,0.2,2.0,0.2,1,5,0.013168806690833035
linear,200,0.2,2.0,0.2,1,6,0.08007586780371626
quantile,200,0.2,2.0,0.2,1,6,0.013369538870822211
huber,200,0.2,2.0,0.2,1,6,0.014193376789491969
linear,200,0.2,2.0,0.2,1,7,0.024744138889221404
quantile,200,0.2,2.0,0.2,1,7,0.01982303911396403
huber,200,0.2,2.0,0.2,1,7,0.01520281754043044
linear,200,0.2,2.0,0.2,1,8,0.07884885353365455
quantile,200,0.2,2.0,0.2,1,8,0.017036669740885302
huber,200,0.2,2.0,0.2,1,8,0.019796271365174097
linear,200,0.2,2.0,0.2,1,9,0.032844194988921716
quantile,200,0.2,2.0,0.2,1,9,0.013070659363898899
huber,200,0.2,2.0,0.2,1,9,0.01153010944262976
linear,200,0.2,2.0,0.2,1,10,0.04664501565235959
quantile,200,0.2,2.0,0.2,1,10,0.021142452846161536
huber,200,0.2,2.0,0.2,1,10,0.017162012354894084
linear,200,0.2,2.0,0.2,1,11,0.027814813122300126
quantile,200,0.2,2.0,0.2,1,11,0.01974831122332488
huber,200,0.2,2.0,0.2,1,11,0.01553512359972412
linear,200,0.2,2.0,0.2,1,12,0.08252327193638388
quantile,200,0.2,2.0,0.2,1,12,0.011685195883427443
huber,200,0.2,2.0,0.2,1,12,0.011724464359133279
linear,200,0.2,2.0,0.2,1,13,0.04782738393036504
quantile,200,0.2,2.0,0.2,1,13,0.022037733002212755
huber,200,0.2,2.0,0.2,1,13,0.015621069294020512
linear,200,0.2,2.0,0.2,1,14,0.017340761841631393
quantile,200,0.2,2.0,0.2,1,14,0.01295350323370704
huber,200,0.2,2.0,0.2,1,14,0.012289849287910173
linear,200,0.2,2.0,0.2,1,15,0.07422159998179918
quantile,200,0.2,2.0,0.2,1,15,0.011922053612096525
huber,200,0.2,2.0,0.2,1,15,0.012380424054121045
linear,200,0.2,2.0,0.2,1,16,0.03852144480179394
quantile,200,0.2,2.0,0.2,1,16,0.01679867587250711
huber,200,0.2,2.0,0.2,1,16,0.015061072671894344
linear,200,0.2,2.0,0.2,1,17,0.03831783983264302
quantile,200,0.2,2.0,0.2,1,17,0.022993203616243428
huber,200,0.2,2.0,0.2,1,17,0.0237849436164137
linear,200,0.2,2.0,0.2,1,18,0.024263507958981006
quantile,200,0.2,2.0,0.2,1,18,0.017286300880134643
huber,200,0.2,2.0,0.2,1,18,0.01375349845340416
linear,200,0.2,2.0,0.2,1,19,0.07135339123440193
quantile,200,0.2,2.0,0.2,1,19,0.022908012301573542
huber,200,0.2,2.0,0.2,1,19,0.024018908633989405
linear,200,0.2,2.0,0.2,1,20,0.023847273119157433
quantile,200,0.2,2.0,0.2,1,20,0.019901030940883753
huber,200,0.2,2.0,0.2,1,20,0.02210735524943149
linear,200,0.2,2.0,0.2,1,21,0.02567471333755602
quantile,200,0.2,2.0,0.2,1,21,0.013523935661058029
huber,200,0.2,2.0,0.2,1,21,0.011561604297694835
linear,200,0.2,2.0,0.2,1,22,0.036865769828208675
quantile,200,0.2,2.0,0.2,1,22,0.02176953638989743
huber,200,0.2,2.0,0.2,1,22,0.020004848250576916
linear,200,0.2,2.0,0.2,1,23,0.03477388239056545
quantile,200,0.2,2.0,0.2,1,23,0.021941816889306437
huber,200,0.2,2.0,0.2,1,23,0.01850845196684862
linear,200,0.2,2.0,0.2,1,24,0.11784916942469278
quantile,200,0.2,2.0,0.2,1,24,0.02440264386321934
huber,200,0.2,2.0,0.2,1,24,0.0255894441952605
linear,200,0.2,2.0,0.2,1,25,0.041024648231295265
quantile,200,0.2,2.0,0.2,1,25,0.029254059387339902
huber,200,0.2,2.0,0.2,1,25,0.028399428924211233
linear,200,0.2,2.0,0.2,1,26,0.05699983797994616
quantile,200,0.2,2.0,0.2,1,26,0.024362517832309694
huber,200,0.2,2.0,0.2,1,26,0.021710872453056536
linear,200,0.2,2.0,0.2,1,27,0.02566666469312588
quantile,200,0.2,2.0,0.2,1,27,0.011535924003706056
huber,200,0.2,2.0,0.2,1,27,0.011843486842574153
linear,200,0.2,2.0,0.2,1,28,0.05824081566158874
quantile,200,0.2,2.0,0.2,1,28,0.016843250484126736
huber,200,0.2,2.0,0.2,1,28,0.014312449861016976
linear,200,0.2,2.0,0.2,1,29,0.023190794069751743
quantile,200,0.2,2.0,0.2,1,29,0.013333336083376574
huber,200,0.2,2.0,0.2,1,29,0.009808749009284145
linear,200,0.2,2.0,0.2,5,0,0.028773377091380958
quantile,200,0.2,2.0,0.2,5,0,0.018236542101133783
huber,200,0.2,2.0,0.2,5,0,0.016549735387201076
linear,200,0.2,2.0,0.2,5,1,0.02327571907013025
quantile,200,0.2,2.0,0.2,5,1,0.010288225938052073
huber,200,0.2,2.0,0.2,5,1,0.01152958753961691
linear,200,0.2,2.0,0.2,5,2,0.037443768087374346
quantile,200,0.2,2.0,0.2,5,2,0.014866566645407022
huber,200,0.2,2.0,0.2,5,2,0.012139222145893833
linear,200,0.2,2.0,0.2,5,3,0.03733164249409497
quantile,200,0.2,2.0,0.2,5,3,0.013427827983122897
huber,200,0.2,2.0,0.2,5,3,0.015133690636101298
linear,200,0.2,2.0,0.2,5,4,0.01943374187253162
quantile,200,0.2,2.0,0.2,5,4,0.015015805957286138
huber,200,0.2,2.0,0.2,5,4,0.009431802364545813
linear,200,0.2,2.0,0.2,5,5,0.02439644766865961
quantile,200,0.2,2.0,0.2,5,5,0.016791012297799647
huber,200,0.2,2.0,0.2,5,5,0.012958594007963148
linear,200,0.2,2.0,0.2,5,6,0.02919061745284649
quantile,200,0.2,2.0,0.2,5,6,0.03136352031016705
huber,200,0.2,2.0,0.2,5,6,0.025175715599829916
linear,200,0.2,2.0,0.2,5,7,0.013032168607430894
quantile,200,0.2,2.0,0.2,5,7,0.013932278182003804
huber,200,0.2,2.0,0.2,5,7,0.011422143659386009
linear,200,0.2,2.0,0.2,5,8,0.013771475899318814
quantile,200,0.2,2.0,0.2,5,8,0.01380709430330227
huber,200,0.2,2.0,0.2,5,8,0.008949501295824011
linear,200,0.2,2.0,0.2,5,9,0.052967831128549955
quantile,200,0.2,2.0,0.2,5,9,0.029909069854409498
huber,200,0.2,2.0,0.2,5,9,0.02378051633468641
linear,200,0.2,2.0,0.2,5,10,0.021491187152056463
quantile,200,0.2,2.0,0.2,5,10,0.013739502317132436
huber,200,0.2,2.0,0.2,5,10,0.011403405653400076
linear,200,0.2,2.0,0.2,5,11,0.03650299476008363
quantile,200,0.2,2.0,0.2,5,11,0.017616624223002718
