method,n,ar,df,rho,SNR,rep,mse
linear,200,0.5,15.0,0.2,5,27,0.016745716299637413
quantile,200,0.5,15.0,0.2,5,27,0.019033228139002364
huber,200,0.5,15.0,0.2,5,27,0.01953673770200756
linear,200,0.5,15.0,0.2,5,28,0.014300740960288914
quantile,200,0.5,15.0,0.2,5,28,0.019642125255522228
huber,200,0.5,15.0,0.2,5,28,0.015109830341908305
linear,200,0.5,15.0,0.2,5,29,0.01159035225994981
quantile,200,0.5,15.0,0.2,5,29,0.014437087300774152
huber,200,0.5,15.0,0.2,5,29,0.011387591654403246
linear,200,0.5,15.0,0.2,10,0,0.008905707697507205
quantile,200,0.5,15.0,0.2,10,0,0.01257337682543833
huber,200,0.5,15.0,0.2,10,0,0.011131542027019553
linear,200,0.5,15.0,0.2,10,1,0.009036039630050993
quantile,200,0.5,15.0,0.2,10,1,0.013957576409339107
huber,200,0.5,15.0,0.2,10,1,0.011281608478840782
linear,200,0.5,15.0,0.2,10,2,0.008106034485602586
quantile,200,0.5,15.0,0.2,10,2,0.013019500098728636
huber,200,0.5,15.0,0.2,10,2,0.010536953124678141
linear,200,0.5,15.0,0.2,10,3,0.016807176066680342
quantile,200,0.5,15.0,0.2,10,3,0.02276944626522317
huber,200,0.5,15.0,0.2,10,3,0.021201588773151245
linear,200,0.5,15.0,0.2,10,4,0.010019639958977856
quantile,200,0.5,15.0,0.2,10,4,0.01340101128578254
huber,200,0.5,15.0,0.2,10,4,0.011496985627203225
linear,200,0.5,15.0,0.2,10,5,0.012875509998984213
quantile,200,0.5,15.0,0.2,10,5,0.01818202856764579
huber,200,0.5,15.0,0.2,10,5,0.014323200532191587
linear,200,0.5,15.0,0.2,10,6,0.00900054439944322
quantile,200,0.5,15.0,0.2,10,6,0.010932953108881474
huber,200,0.5,15.0,0.2,10,6,0.009535356681285268
linear,200,0.5,15.0,0.2,10,7,0.011719479509718576
quantile,200,0.5,15.0,0.2,10,7,0.014929494034137715
huber,200,0.5,15.0,0.2,10,7,0.012274236445881638
linear,200,0.5,15.0,0.2,10,8,0.010907560532502905
quantile,200,0.5,15.0,0.2,10,8,0.015686167987057915
huber,200,0.5,15.0,0.2,10,8,0.012715266153483937
linear,200,0.5,15.0,0.2,10,9,0.0115761351065271
quantile,200,0.5,15.0,0.2,10,9,0.01749011801288751
huber,200,0.5,15.0,0.2,10,9,0.014857330178977892
linear,200,0.5,15.0,0.2,10,10,0.00895156667325401
quantile,200,0.5,15.0,0.2,10,10,0.013200878635688106
huber,200,0.5,15.0,0.2,10,10,0.01236075910850609
linear,200,0.5,15.0,0.2,10,11,0.012182529761137118
quantile,200,0.5,15.0,0.2,10,11,0.013721396241787826
huber,200,0.5,15.0,0.2,10,11,0.011950885335003953
linear,200,0.5,15.0,0.2,10,12,0.016893712547942263
quantile,200,0.5,15.0,0.2,10,12,0.02114651906740225
huber,200,0.5,15.0,0.2,10,12,0.021502362064228158
linear,200,0.5,15.0,0.2,10,13,0.012602184723775863
quantile,200,0.5,15.0,0.2,10,13,0.01781123402132049
huber,200,0.5,15.0,0.2,10,13,0.015854101438835463
linear,200,0.5,15.0,0.2,10,14,0.016157596639386766
quantile,200,0.5,15.0,0.2,10,14,0.018312983622370903
huber,200,0.5,15.0,0.2,10,14,0.018344026730561024
linear,200,0.5,15.0,0.2,10,15,0.01100869972938754
quantile,200,0.5,15.0,0.2,10,15,0.015031998448757267
huber,200,0.5,15.0,0.2,10,15,0.01346629898460126
linear,200,0.5,15.0,0.2,10,16,0.011009060184460366
quantile,200,0.5,15.0,0.2,10,16,0.01080516832614276
huber,200,0.5,15.0,0.2,10,16,0.00916045292181012
linear,200,0.5,15.0,0.2,10,17,0.00997616788615668
quantile,200,0.5,15.0,0.2,10,17,0.012660366413152973
huber,200,0.5,15.0,0.2,10,17,0.010665135228057477
linear,200,0.5,15.0,0.2,10,18,0.012220647489889696
quantile,200,0.5,15.0,0.2,10,18,0.015939612005193206
huber,200,0.5,15.0,0.2,10,18,0.012887007099175746
linear,200,0.5,15.0,0.2,10,19,0.009532800057379963
quantile,200,0.5,15.0,0.2,10,19,0.013728285743021595
huber,200,0.5,15.0,0.2,10,19,0.01217915268454049
linear,200,0.5,15.0,0.2,10,20,0.008832756558225416
quantile,200,0.5,15.0,0.2,10,20,0.01168862215140683
huber,200,0.5,15.0,0.2,10,20,0.010835697855810391
linear,200,0.5,15.0,0.2,10,21,0.009758407438015544
quantile,200,0.5,15.0,0.2,10,21,0.012287302078770806
huber,200,0.5,15.0,0.2,10,21,0.01033394057524157
linear,200,0.5,15.0,0.2,10,22,0.014493791549691843
quantile,200,0.5,15.0,0.2,10,22,0.0233347246814487
huber,200,0.5,15.0,0.2,10,22,0.021333391885284894
linear,200,0.5,15.0,0.2,10,23,0.010936893545804486
quantile,200,0.5,15.0,0.2,10,23,0.01807462997545591
huber,200,0.5,15.0,0.2,10,23,0.01761440427063819
linear,200,0.5,15.0,0.2,10,24,0.013773049351742266
quantile,200,0.5,15.0,0.2,10,24,0.017629688074216703
huber,200,0.5,15.0,0.2,10,24,0.015398919446606374
linear,200,0.5,15.0,0.2,10,25,0.009140103559081163
quantile,200,0.5,15.0,0.2,10,25,0.018917467034981414
huber,200,0.5,15.0,0.2,10,25,0.017882285094060524
linear,200,0.5,15.0,0.2,10,26,0.007455018871677229
quantile,200,0.5,15.0,0.2,10,26,0.011533654567260188
huber,200,0.5,15.0,0.2,10,26,0.009167696144080039
linear,200,0.5,15.0,0.2,10,27,0.01150910766589765
quantile,200,0.5,15.0,0.2,10,27,0.01517725120285939
huber,200,0.5,15.0,0.2,10,27,0.012487993188730194
linear,200,0.5,15.0,0.2,10,28,0.010810322861780429
quantile,200,0.5,15.0,0.2,10,28,0.016830759433483326
huber,200,0.5,15.0,0.2,10,28,0.014554987010451208
linear,200,0.5,15.0,0.2,10,29,0.010066247374441917
quantile,200,0.5,15.0,0.2,10,29,0.013212714164507002
huber,200,0.5,15.0,0.2,10,29,0.011400161374504217
linear,200,0.5,20.0,0.2,1,0,0.012831630707755044
quantile,200,0.5,20.0,0.2,1,0,0.014015724035428284
huber,200,0.5,20.0,0.2,1,0,0.013189021988263392
linear,200,0.5,20.0,0.2,1,1,0.011353915357130167
quantile,200,0.5,20.0,0.2,1,1,0.016880748129471494
huber,200,0.5,20.0,0.2,1,1,0.01413361994202711
linear,200,0.5,20.0,0.2,1,2,0.01041237498784721
quantile,200,0.5,20.0,0.2,1,2,0.017471951286109087
huber,200,0.5,20.0,0.2,1,2,0.015095375370272645
linear,200,0.5,20.0,0.2,1,3,0.012649956267403816
quantile,200,0.5,20.0,0.2,1,3,0.01674121503454357
huber,200,0.5,20.0,0.2,1,3,0.017976153914400293
linear,200,0.5,20.0,0.2,1,4,0.012838026913981044
quantile,200,0.5,20.0,0.2,1,4,0.015682975094151834
huber,200,0.5,20.0,0.2,1,4,0.014442057491466239
linear,200,0.5,20.0,0.2,1,5,0.013374754931839311
quantile,200,0.5,20.0,0.2,1,5,0.015034355677474862
huber,200,0.5,20.0,0.2,1,5,0.014101599940233711
linear,200,0.5,20.0,0.2,1,6,0.01360906234848463
quantile,200,0.5,20.0,0.2,1,6,0.023220421615836307
huber,200,0.5,20.0,0.2,1,6,0.019748307740678817
linear,200,0.5,20.0,0.2,1,7,0.012019140719528906
quantile,200,0.5,20.0,0.2,1,7,0.019853306974172487
huber,200,0.5,20.0,0.2,1,7,0.014941519177765936
linear,200,0.5,20.0,0.2,1,8,0.015229661237735146
quantile,200,0.5,20.0,0.2,1,8,0.016843998783455286
huber,200,0.5,20.0,0.2,1,8,0.015283051526494968
linear,200,0.5,20.0,0.2,1,9,0.010872325340725464
quantile,200,0.5,20.0,0.2,1,9,0.01761242418440052
huber,200,0.5,20.0,0.2,1,9,0.01549689217506559
linear,200,0.5,20.0,0.2,1,10,0.010324509796822813
quantile,200,0.5,20.0,0.2,1,10,0.013819393059604411
huber,200,0.5,20.0,0.2,1,10,0.013848922291736948
linear,200,0.5,20.0,0.2,1,11,0.011109176609692108
quantile,200,0.5,20.0,0.2,1,11,0.012619286671823304
huber,200,0.5,20.0,0.2,1,11,0.010786581110368487
linear,200,0.5,20.0,0.2,1,12,0.014659695517976223
quantile,200,0.5,20.0,0.2,1,12,0.021433134320281762
huber,200,0.5,20.0,0.2,1,12,0.017461100733880016
linear,200,0.5,20.0,0.2,1,13,0.01658837934640026
quantile,200,0.5,20.0,0.2,1,13,0.019133369993151184
huber,200,0.5,20.0,0.2,1,13,0.01830862932501152
linear,200,0.5,20.0,0.2,1,14,0.013792867878822099
quantile,200,0.5,20.0,0.2,1,14,0.01385126663268938
huber,200,0.5,20.0,0.2,1,14,0.013270108355747793
linear,200,0.5,20.0,0.2,1,15,0.013013993795839921
quantile,200,0.5,20.0,0.2,1,15,0.022839036057085524
huber,200,0.5,20.0,0.2,1,15,0.018237860967143124
linear,200,0.5,20.0,0.2,1,16,0.008609462865711915
quantile,200,0.5,20.0,0.2,1,16,0.011929923563798397
huber,200,0.5,20.0,0.2,1,16,0.011161606365036858
linear,200,0.5,20.0,0.2,1,17,0.01264930654537241
quantile,200,0.5,20.0,0.2,1,17,0.015292814677534657
huber,200,0.5,20.0,0.2,1,17,0.013664650401124166
linear,200,0.5,20.0,0.2,1,18,0.01633740235187471
quantile,200,0.5,20.0,0.2,1,18,0.025397105846709688
huber,200,0.5,20.0,0.2,1,18,0.02293164174241945
linear,200,0.5,20.0,0.2,1,19,0.011533008671207361
quantile,200,0.5,20.0,0.2,1,19,0.011981184301766406
huber,200,0.5,20.0,0.2,1,19,0.012295705394936698
linear,200,0.5,20.0,0.2,1,20,0.01380925126001691
quantile,200,0.5,20.0,0.2,1,20,0.015734666130355936
huber,200,0.5,20.0,0.2,1,20,0.015121216926262736
linear,200,0.5,20.0,0.2,1,21,0.0067958323446656145
quantile,200,0.5,20.0,0.2,1,21,0.010741869750162763
huber,200,0.5,20.0,0.2,1,21,0.009685511557613768
linear,200,0.5,20.0,0.2,1,22,0.009577329420157444
quantile,200,0.5,20.0,0.2,1,22,0.01424916563754517
huber,200,0.5,20.0,0.2,1,22,0.011106260347288758
linear,200,0.5,20.0,0.2,1,23,0.009415615989230878
quantile,200,0.5,20.0,0.2,1,23,0.014157003122397602
huber,200,0.5,20.0,0.2,1,23,0.011472138601644333
linear,200,0.5,20.0,0.2,1,24,0.011931218137512039
quantile,200,0.5,20.0,0.2,1,24,0.014517150336178153
huber,200,0.5,20.0,0.2,1,24,0.012662516028867017
linear,200,0.5,20.0,0.2,1,25,0.010527112520990178
quantile,200,0.5,20.0,0.2,1,25,0.015391437154837252
huber,200,0.5,20.0,0.2,1,25,0.014081517426556802
linear,200,0.5,20.0,0.2,1,26,0.015197811661672748
quantile,200,0.5,20.0,0.2,1,26,0.01651519342413453
huber,200,0.5,20.0,0.2,1,26,0.015213361751977588
linear,200,0.5,20.0,0.2,1,27,0.011036080909326798
quantile,200,0.5,20.0,0.2,1,27,0.018981218037611883
huber,200,0.5,20.0,0.2,1,27,0.015676208817320014
linear,200,0.5,20.0,0.2,1,28,0.009020108730251391
quantile,200,0.5,20.0,0.2,1,28,0.011063995628260602
huber,200,0.5,20.0,0.2,1,28,0.009890639885228593
linear,200,0.5,20.0,0.2,1,29,0.014924086719066714
quantile,200,0.5,20.0,0.2,1,29,0.024343726369549207
huber,200,0.5,20.0,0.2,1,29,0.02016971318218762
linear,200,0.5,20.0,0.2,5,0,0.00959848277104645
quantile,200,0.5,20.0,0.2,5,0,0.013564277108952683
huber,200,0.5,20.0,0.2,5,0,0.012921269882066554
linear,200,0.5,20.0,0.2,5,1,0.011237026895371028
quantile,200,0.5,20.0,0.2,5,1,0.016886892070361835
huber,200,0.5,20.0,0.2,5,1,0.014585358017705918
linear,200,0.5,20.0,0.2,5,2,0.009768765001426276
quantile,200,0.5,20.0,0.2,5,2,0.009788671860747413
huber,200,0.5,20.0,0.2,5,2,0.009761770346939825
linear,200,0.5,20.0,0.2,5,3,0.006796385926262812
quantile,200,0.5,20.0,0.2,5,3,0.013345393087750125
huber,200,0.5,20.0,0.2,5,3,0.010863992844595716
linear,200,0.5,20.0,0.2,5,4,0.011628868466278353
quantile,200,0.5,20.0,0.2,5,4,0.021724640894242985
huber,200,0.5,20.0,0.2,5,4,0.016617657730264038
linear,200,0.5,20.0,0.2,5,5,0.007329939798188778
quantile,200,0.5,20.0,0.2,5,5,0.01168571297019681
huber,200,0.5,20.0,0.2,5,5,0.009736704855724705
linear,200,0.5,20.0,0.2,5,6,0.010569107871578862
quantile,200,0.5,20.0,0.2,5,6,0.013018456058462167
huber,200,0.5,20.0,0.2,5,6,0.011220438255805789
linear,200,0.5,20.0,0.2,5,7,0.015097506684157411
quantile,200,0.5,20.0,0.2,5,7,0.022988640754191113
huber,200,0.5,20.0,0.2,5,7,0.01874057917307495
linear,200,0.5,20.0,0.2,5,8,0.006746477609022777
quantile,200,0.5,20.0,0.2,5,8,0.008874852340358197
huber,200,0.5,20.0,0.2,5,8,0.007182116983326863
linear,200,0.5,20.0,0.2,5,9,0.013435529085429353
quantile,200,0.5,20.0,0.2,5,9,0.019629474059576636
huber,200,0.5,20.0,0.2,5,9,0.0187240841893333
linear,200,0.5,20.0,0.2,5,10,0.00929102623092894
quantile,200,0.5,20.0,0.2,5,10,0.013128363459824897
huber,200,0.5,20.0,0.2,5,10,0.009110776242711593
linear,200,0.5,20.0,0.2,5,11,0.010656757162008092
quantile,200,0.5,20.0,0.2,5,11,0.017620606367127457
huber,200,0.5,20.0,0.2,5,11,0.013228711100213396
linear,200,0.5,20.0,0.2,5,12,0.00890419587910251
quantile,200,0.5,20.0,0.2,5,12,0.016065177410054497
huber,200,0.5,20.0,0.2,5,12,0.01414667500789234
linear,200,0.5,20.0,0.2,5,13,0.00771953526255657
quantile,200,0.5,20.0,0.2,5,13,0.013707002978096024
huber,200,0.5,20.0,0.2,5,13,0.011002045114313588
linear,200,0.5,20.0,0.2,5,14,0.009510011371278092
quantile,200,0.5,20.0,0.2,5,14,0.01135740347573612
huber,200,0.5,20.0,0.2,5,14,0.011198712554384219
linear,200,0.5,20.0,0.2,5,15,0.011921046844174873
quantile,200,0.5,20.0,0.2,5,15,0.017056239667637762
huber,200,0.5,20.0,0.2,5,15,0.015676311356171826
linear,200,0.5,20.0,0.2,5,16,0.012688611284414241
quantile,200,0.5,20.0,0.2,5,16,0.014839280466771377
huber,200,0.5,20.0,0.2,5,16,0.014081403442736305
linear,200,0.5,20.0,0.2,5,17,0.010690274929993547
quantile,200,0.5,20.0,0.2,5,17,0.015715941926702916
huber,200,0.5,20.0,0.2,5,17,0.011777828724141072
linear,200,0.5,20.0,0.2,5,18,0.010567801263178616
quantile,200,0.5,20.0,0.2,5,18,0.015434449349577462
huber,200,0.5,20.0,0.2,5,18,0.013047821130231887
linear,200,0.5,20.0,0.2,5,19,0.02170877476647584
quantile,200,0.5,20.0,0.2,5,19,0.028981619006612003
huber,200,0.5,20.0,0.2,5,19,0.023118029583829854
linear,200,0.5,20.0,0.2,5,20,0.00634559312114901
quantile,200,0.5,20.0,0.2,5,20,0.011021240427876325
huber,200,0.5,20.0,0.2,5,20,0.010319867875156702
linear,200,0.5,20.0,0.2,5,21,0.011197069196682244
quantile,200,0.5,20.0,0.2,5,21,0.02122529347923445
huber,200,0.5,20.0,0.2,5,21,0.014838237935248579
linear,200,0.5,20.0,0.2,5,22,0.011415405668881815
quantile,200,0.5,20.0,0.2,5,22,0.013628364838167026
huber,200,0.5,20.0,0.2,5,22,0.012807447011200639
linear,200,0.5,20.0,0.2,5,23,0.00950546797537844
quantile,200,0.5,20.0,0.2,5,23,0.0187200041081434
huber,200,0.5,20.0,0.2,5,23,0.014272186179199755
linear,200,0.5,20.0,0.2,5,24,0.007458822668936205
quantile,200,0.5,20.0,0.2,5,24,0.011377563410699605
huber,200,0.5,20.0,0.2,5,24,0.009696153135459762
linear,200,0.5,20.0,0.2,5,25,0.015044278869208933
quantile,200,0.5,20.0,0.2,5,25,0.0190497787095191
huber,200,0.5,20.0,0.2,5,25,0.01693426267182578
linear,200,0.5,20.0,0.2,5,26,0.012107918618363182
quantile,200,0.5,20.0,0.2,5,26,0.01889824398692311
huber,200,0.5,20.0,0.2,5,26,0.016327390742770512
linear,200,0.5,20.0,0.2,5,27,0.010898076232347911
quantile,200,0.5,20.0,0.2,5,27,0.019282859464637866
huber,200,0.5,20.0,0.2,5,27,0.01646998206039675
linear,200,0.5,20.0,0.2,5,28,0.012294887371250349
quantile,200,0.5,20.0,0.2,5,28,0.017569500489385173
huber,200,0.5,20.0,0.2,5,28,0.017315527804480202
linear,200,0.5,20.0,0.2,5,29,0.017284457573000865
quantile,200,0.5,20.0,0.2,5,29,0.028462817488386766
huber,200,0.5,20.0,0.2,5,29,0.022683369132437993
linear,200,0.5,20.0,0.2,10,0,0.012711792257292027
quantile,200,0.5,20.0,0.2,10,0,0.018826594409080008
huber,200,0.5,20.0,0.2,10,0,0.01574577766692131
linear,200,0.5,20.0,0.2,10,1,0.009724470067741204
quantile,200,0.5,20.0,0.2,10,1,0.016501936963680856
huber,200,0.5,20.0,0.2,10,1,0.014367709366096146
linear,200,0.5,20.0,0.2,10,2,0.00765835730495634
quantile,200,0.5,20.0,0.2,10,2,0.011902976679715934
huber,200,0.5,20.0,0.2,10,2,0.00935712337420451
linear,200,0.5,20.0,0.2,10,3,0.01443268496234351
quantile,200,0.5,20.0,0.2,10,3,0.022905321732030706
huber,200,0.5,20.0,0.2,10,3,0.020184355533150324
linear,200,0.5,20.0,0.2,10,4,0.011221451778280028
quantile,200,0.5,20.0,0.2,10,4,0.022419971569982707
huber,200,0.5,20.0,0.2,10,4,0.017456157375835453
linear,200,0.5,20.0,0.2,10,5,0.006365291012359783
quantile,200,0.5,20.0,0.2,10,5,0.008677646118611652
huber,200,0.5,20.0,0.2,10,5,0.006190402316013409
linear,200,0.5,20.0,0.2,10,6,0.01201386143060455
quantile,200,0.5,20.0,0.2,10,6,0.019153349283240858
huber,200,0.5,20.0,0.2,10,6,0.016406796622079244
linear,200,0.5,20.0,0.2,10,7,0.010072971822146407
quantile,200,0.5,20.0,0.2,10,7,0.012330562498201017
huber,200,0.5,20.0,0.2,10,7,0.01150211992656342
linear,200,0.5,20.0,0.2,10,8,0.010404398124677734
quantile,200,0.5,20.0,0.2,10,8,0.01158988411526761
huber,200,0.5,20.0,0.2,10,8,0.011782152272041631
linear,200,0.5,20.0,0.2,10,9,0.01011611465804651
quantile,200,0.5,20.0,0.2,10,9,0.014284452697430932
huber,200,0.5,20.0,0.2,10,9,0.014339748652296374
linear,200,0.5,20.0,0.2,10,10,0.010238666630907936
quantile,200,0.5,20.0,0.2,10,10,0.01467106439162544
huber,200,0.5,20.0,0.2,10,10,0.009775084691938784
linear,200,0.5,20.0,0.2,10,11,0.008669586720168756
quantile,200,0.5,20.0,0.2,10,11,0.01222742867367544
huber,200,0.5,20.0,0.2,10,11,0.011324895947592601
linear,200,0.5,20.0,0.2,10,12,0.013161416687146986
quantile,200,0.5,20.0,0.2,10,12,0.01733789067882282
huber,200,0.5,20.0,0.2,10,12,0.013967139884863167
linear,200,0.5,20.0,0.2,10,13,0.014991094771115758
quantile,200,0.5,20.0,0.2,10,13,0.02276651001555542
huber,200,0.5,20.0,0.2,10,13,0.01653779725321193
linear,200,0.5,20.0,0.2,10,14,0.013330525694850484
quantile,200,0.5,20.0,0.2,10,14,0.01959083957486882
huber,200,0.5,20.0,0.2,10,14,0.016890460992738377
linear,200,0.5,20.0,0.2,10,15,0.009911976080530219
quantile,200,0.5,20.0,0.2,10,15,0.016123963980042563
huber,200,0.5,20.0,0.2,10,15,0.013570524646727915
linear,200,0.5,20.0,0.2,10,16,0.009821642867893528
quantile,200,0.5,20.0,0.2,10,16,0.017402413487249233
huber,200,0.5,20.0,0.2,10,16,0.01339906169932937
linear,200,0.5,20.0,0.2,10,17,0.013583276677484692
quantile,200,0.5,20.0,0.2,10,17,0.015717040360353363
huber,200,0.5,20.0,0.2,10,17,0.015224783005377336
linear,200,0.5,20.0,0.2,10,18,0.012510723775411339
quantile,200,0.5,20.0,0.2,10,18,0.0154689217065462
huber,200,0.5,20.0,0.2,10,18,0.015746703011331065
linear,200,0.5,20.0,0.2,10,19,0.0160926971136121
quantile,200,0.5,20.0,0.2,10,19,0.023181167675299118
huber,200,0.5,20.0,0.2,10,19,0.019181961561005264
linear,200,0.5,20.0,0.2,10,20,0.0064686354679267324
quantile,200,0.5,20.0,0.2,10,20,0.01428668373357367
huber,200,0.5,20.0,0.2,10,20,0.012219225606326746
linear,200,0.5,20.0,0.2,10,21,0.009497599980063616
quantile,200,0.5,20.0,0.2,10,21,0.01127732003723124
huber,200,0.5,20.0,0.2,10,21,0.009268548513874913
linear,200,0.5,20.0,0.2,10,22,0.01139935204555448
quantile,200,0.5,20.0,0.2,10,22,0.013908140154335034
huber,200,0.5,20.0,0.2,10,22,0.014016212416237503
linear,200,0.5,20.0,0.2,10,23,0.008476063978108649
quantile,200,0.5,20.0,0.2,10,23,0.0132753208052866
huber,200,0.5,20.0,0.2,10,23,0.013222268690638177
linear,200,0.5,20.0,0.2,10,24,0.007406155449913046
quantile,200,0.5,20.0,0.2,10,24,0.012099661840147142
huber,200,0.5,20.0,0.2,10,24,0.009455138905609041
linear,200,0.5,20.0,0.2,10,25,0.015878476523487357
quantile,200,0.5,20.0,0.2,10,25,0.020015461299732414
huber,200,0.5,20.0,0.2,10,25,0.020277817886147242
linear,200,0.5,20.0,0.2,10,26,0.011458592412693237
quantile,200,0.5,20.0,0.2,10,26,0.018925899902527403
huber,200,0.5,20.0,0.2,10,26,0.01542012651444865
linear,200,0.5,20.0,0.2,10,27,0.0060743078244592155
quantile,200,0.5,20.0,0.2,10,27,0.008747664393086788
huber,200,0.5,20.0,0.2,10,27,0.0074224307709659845
linear,200,0.5,20.0,0.2,10,28,0.010380981450389383
quantile,200,0.5,20.0,0.2,10,28,0.013851040447239726
huber,200,0.5,20.0,0.2,10,28,0.01283512998878121
linear,200,0.5,20.0,0.2,10,29,0.009548922460160472
quantile,200,0.5,20.0,0.2,10,29,0.011870234641706874
huber,200,0.5,20.0,0.2,10,29,0.01185180321110003
linear,200,0.5,inf,0.2,1,0,0.008919106077835635
quantile,200,0.5,inf,0.2,1,0,0.016875118961739887
huber,200,0.5,inf,0.2,1,0,0.014705928954696792
linear,200,0.5,inf,0.2,1,1,0.012328848038770419
quantile,200,0.5,inf,0.2,1,1,0.013295949304736696
huber,200,0.5,inf,0.2,1,1,0.01334855111495597
linear,200,0.5,inf,0.2,1,2,0.013663662430689904
quantile,200,0.5,inf,0.2,1,2,0.022406792442164387
huber,200,0.5,inf,0.2,1,2,0.01840677941683447
linear,200,0.5,inf,0.2,1,3,0.009771130331314304
quantile,200,0.5,inf,0.2,1,3,0.01610281759624952
huber,200,0.5,inf,0.2,1,3,0.012975675088388787
linear,200,0.5,inf,0.2,1,4,0.011425548296729508
quantile,200,0.5,inf,0.2,1,4,0.0178452561359351
huber,200,0.5,inf,0.2,1,4,0.016619893596835807
linear,200,0.5,inf,0.2,1,5,0.005368684136686996
quantile,200,0.5,inf,0.2,1,5,0.009777200451674753
huber,200,0.5,inf,0.2,1,5,0.007552862290473389
linear,200,0.5,inf,0.2,1,6,0.010015916177123899
quantile,200,0.5,inf,0.2,1,6,0.014113227119841002
huber,200,0.5,inf,0.2,1,6,0.011732560943999716
linear,200,0.5,inf,0.2,1,7,0.011594362195504335
quantile,200,0.5,inf,0.2,1,7,0.0175332438860677
huber,200,0.5,inf,0.2,1,7,0.01655995810952715
linear,200,0.5,inf,0.2,1,8,0.013606503296126456
quantile,200,0.5,inf,0.2,1,8,0.02003360270427621
huber,200,0.5,inf,0.2,1,8,0.01745252442431936
linear,200,0.5,inf,0.2,1,9,0.009951747465888
quantile,200,0.5,inf,0.2,1,9,0.011410051823265046
huber,200,0.5,inf,0.2,1,9,0.009723313762919805
linear,200,0.5,inf,0.2,1,10,0.01630872813698645
quantile,200,0.5,inf,0.2,1,10,0.019331671039725037
huber,200,0.5,inf,0.2,1,10,0.01818512990699321
linear,200,0.5,inf,0.2,1,11,0.008629651621335964
quantile,200,0.5,inf,0.2,1,11,0.012648373469461304
huber,200,0.5,inf,0.2,1,11,0.010910847642434045
linear,200,0.5,inf,0.2,1,12,0.011830609321807246
quantile,200,0.5,inf,0.2,1,12,0.01808078098653497
huber,200,0.5,inf,0.2,1,12,0.016642094589155026
linear,200,0.5,inf,0.2,1,13,0.01078916921939186
quantile,200,0.5,inf,0.2,1,13,0.015594401995516857
huber,200,0.5,inf,0.2,1,13,0.014001806447696196
linear,200,0.5,inf,0.2,1,14,0.014179917952340386
quantile,200,0.5,inf,0.2,1,14,0.01602629846756126
huber,200,0.5,inf,0.2,1,14,0.01628057840457334
linear,200,0.5,inf,0.2,1,15,0.01140483810636811
quantile,200,0.5,inf,0.2,1,15,0.01219969336523137
huber,200,0.5,inf,0.2,1,15,0.011864792182615555
linear,200,0.5,inf,0.2,1,16,0.011846026272341059
quantile,200,0.5,inf,0.2,1,16,0.016362067393896493
huber,200,0.5,inf,0.2,1,16,0.015359937928198085
linear,200,0.5,inf,0.2,1,17,0.013801945809929972
quantile,200,0.5,inf,0.2,1,17,0.019663454645471277
huber,200,0.5,inf,0.2,1,17,0.014894397848962418
linear,200,0.5,inf,0.2,1,18,0.006344216458882815
quantile,200,0.5,inf,0.2,1,18,0.01071616295667584
huber,200,0.5,inf,0.2,1,18,0.009292309885090012
linear,200,0.5,inf,0.2,1,19,0.011142819707850884
quantile,200,0.5,inf,0.2,1,19,0.017548026428997717
huber,200,0.5,inf,0.2,1,19,0.0145906272575525
linear,200,0.5,inf,0.2,1,20,0.009407709578002944
quantile,200,0.5,inf,0.2,1,20,0.01701697358326659
huber,200,0.5,inf,0.2,1,20,0.014075104405320666
linear,200,0.5,inf,0.2,1,21,0.010504166526829535
quantile,200,0.5,inf,0.2,1,21,0.01596899296666858
huber,200,0.5,inf,0.2,1,21,0.015170272129744056
linear,200,0.5,inf,0.2,1,22,0.013954111134546658
quantile,200,0.5,inf,0.2,1,22,0.015191858574151165
huber,200,0.5,inf,0.2,1,22,0.01390683148263184
linear,200,0.5,inf,0.2,1,23,0.008135114947416566
quantile,200,0.5,inf,0.2,1,23,0.01438667141764313
huber,200,0.5,inf,0.2,1,23,0.012668994035643682
linear,200,0.5,inf,0.2,1,24,0.009862707983930574
quantile,200,0.5,inf,0.2,1,24,0.013696440422721253
huber,200,0.5,inf,0.2,1,24,0.012335765435265694
linear,200,0.5,inf,0.2,1,25,0.011337010202060443
quantile,200,0.5,inf,0.2,1,25,0.017732079883122868
huber,200,0.5,inf,0.2,1,25,0.015318882770173457
linear,200,0.5,inf,0.2,1,26,0.01108565297848791
quantile,200,0.5,inf,0.2,1,26,0.01788925159432397
huber,200,0.5,inf,0.2,1,26,0.015548427598624449
linear,200,0.5,inf,0.2,1,27,0.009915261676975168
quantile,200,0.5,inf,0.2,1,27,0.013949569405739713
huber,200,0.5,inf,0.2,1,27,0.011361907454110587
linear,200,0.5,inf,0.2,1,28,0.010868479492591256
quantile,200,0.5,inf,0.2,1,28,0.01953520449539299
huber,200,0.5,inf,0.2,1,28,0.01879518496372038
linear,200,0.5,inf,0.2,1,29,0.0074652997666030665
quantile,200,0.5,inf,0.2,1,29,0.011982991277663778
huber,200,0.5,inf,0.2,1,29,0.011097900741326563
linear,200,0.5,inf,0.2,5,0,0.009909156581152124
quantile,200,0.5,inf,0.2,5,0,0.014341293273699944
huber,200,0.5,inf,0.2,5,0,0.012504796139968211
linear,200,0.5,inf,0.2,5,1,0.0077813685981368555
